"id","submitdate","lastpage","startlanguage","seed","startdate","datestamp","ID","AG","GD","BI1","BI2","BI3","PR1","PR2","O5L","O5M","O5S","O9H","O9L","O9D","O4L","O4S","O4F","O11M","O11F","O11D","O8M","O8H","O8D","O10S","O10M","O10L","O1F","O1H","O1D","O3M","O3S","O3F","O2M","O2S","O2D","O7M","O7H","O7S","O12M","O12L","O12F","O6L","O6D","O6F","interviewtime","groupTime5147","IDTime","AGTime","GDTime","BI1Time","BI2Time","BI3Time","PR1Time","PR2Time","groupTime5153","O5LTime","O5MTime","O5STime","groupTime5158","O9HTime","O9LTime","O9DTime","groupTime5152","O4LTime","O4STime","O4FTime","groupTime5151","O11MTime","O11FTime","O11DTime","groupTime5149","O8MTime","O8HTime","O8DTime","groupTime5159","O10STime","O10MTime","O10LTime","groupTime5148","O1FTime","O1HTime","O1DTime","groupTime5155","O3MTime","O3STime","O3FTime","groupTime5154","O2MTime","O2STime","O2DTime","groupTime5157","O7MTime","O7HTime","O7STime","groupTime5150","O12MTime","O12LTime","O12FTime","groupTime5156","O6LTime","O6DTime","O6FTime"
"32","2021-08-17 10:26:06","13","en","1202990887","2021-08-17 10:22:42","2021-08-17 10:26:06","1","27","M","Y","A3","A4","A2","A3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","211.94","60.63","","","","","","","","","29.3","","","","23.96","","","","19.19","","","","9.77","","","","8.5","","","","22.61","","","","15.9","","","","4.78","","","","4.95","","","","4.21","","","","3.51","","","","4.63","","",""
"33","2021-08-17 11:42:47","13","en","91276475","2021-08-17 11:39:29","2021-08-17 11:42:47","2","21","M","Y","A2","A4","A4","A4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","203.37","26.17","","","","","","","","","13.91","","","","25.33","","","","15.32","","","","11.11","","","","17.4","","","","10.34","","","","18.06","","","","15.8","","","","10.3","","","","8.94","","","","11.57","","","","19.12","","",""
"34","2021-08-17 13:50:33","13","en","736227741","2021-08-17 13:48:10","2021-08-17 13:50:33","3","24","M","Y","A5","A4","A5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","150.32","46.85","","","","","","","","","11.29","","","","9.49","","","","11.93","","","","9.36","","","","16.12","","","","5.58","","","","6.71","","","","7.83","","","","4.43","","","","10.46","","","","4.3","","","","5.97","","",""
"35","2021-08-17 14:36:52","13","en","70685100","2021-08-17 14:35:07","2021-08-17 14:36:52","4","22","M","Y","A4","A5","A2","A1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","111.66","54.2","","","","","","","","","16.96","","","","7.58","","","","7.57","","","","6.34","","","","2.33","","","","2.35","","","","4.18","","","","1.88","","","","2.48","","","","1.63","","","","1.92","","","","2.24","","",""
"36","2021-08-17 15:10:53","13","en","1430211475","2021-08-17 15:09:45","2021-08-17 15:10:53","5","21","F","N","A1","A1","A1","A1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","73.68","29.74","","","","","","","","","12.8","","","","6.9","","","","3.57","","","","2.18","","","","2.49","","","","2.02","","","","2.26","","","","3.26","","","","1.59","","","","2.6","","","","2.19","","","","2.08","","",""
"37","2021-08-17 16:02:33","13","en","650563638","2021-08-17 15:58:39","2021-08-17 16:02:33","6","21","F","Y","A2","A3","A4","A3","0","A3","0","A4","0","0","A3","0","A3","0","0","1","A4","0","0","0","0","0","A1","0","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","241.19","28.23","","","","","","","","","18.77","","","","17.33","","","","34.72","","","","15.99","","","","29.39","","","","7.63","","","","34.28","","","","14.56","","","","6.77","","","","11.32","","","","7.62","","","","14.58","","",""
"38","2021-08-17 17:13:42","13","en","1350740185","2021-08-17 17:08:26","2021-08-17 17:13:42","7","21","F","N","A2","A2","A3","A3","0","0","0","0","0","0","1","0","A3","0","0","1","0","0","A4","0","0","A3","0","1","A2","0","0","0","1","0","A2","0","0","0","0","0","0","0","0","0","321.74","30.74","","","","","","","","","8.99","","","","12.11","","","","23.49","","","","16.82","","","","36.1","","","","36.76","","","","39.39","","","","18.01","","","","16.69","","","","42.33","","","","15.51","","","","24.8","","",""
"39","2021-08-17 18:35:24","13","en","529497744","2021-08-17 18:34:29","2021-08-17 18:35:24","8","21","F","Y","A2","A5","A3","A2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","61.23","25.64","","","","","","","","","12.86","","","","4.22","","","","2.81","","","","2.75","","","","2.21","","","","1.53","","","","1.87","","","","2.01","","","","1.14","","","","1.25","","","","1.39","","","","1.55","","",""
"40","2021-08-17 20:17:29","13","en","311216592","2021-08-17 20:14:10","2021-08-17 20:17:29","9","21","M","N","A2","A3","A2","A3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","A4","0","1","A1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","207.12","43.2","","","","","","","","","37.89","","","","10.36","","","","11.84","","","","4.75","","","","19.43","","","","2.96","","","","27.49","","","","11.52","","","","6.48","","","","7.58","","","","7.7","","","","15.92","","",""
"41","2021-08-17 21:00:38","13","en","2103077172","2021-08-17 20:59:10","2021-08-17 21:00:38","10","22","F","N","A1","A1","A3","A2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","94.64","34.13","","","","","","","","","12.96","","","","5.99","","","","14.43","","","","2.74","","","","4.18","","","","3.09","","","","5.18","","","","2.89","","","","3.44","","","","1.93","","","","2.22","","","","1.46","","",""
"42","2021-08-17 22:16:51","13","en","1994702623","2021-08-17 22:15:34","2021-08-17 22:16:51","11","21","M","Y","A3","A5","A2","A2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","84.71","35.98","","","","","","","","","12.59","","","","3.87","","","","3.91","","","","3.43","","","","8.19","","","","2.99","","","","1.79","","","","2.81","","","","2.62","","","","2.22","","","","1.82","","","","2.49","","",""
"43","2021-08-18 10:40:44","13","en","868696021","2021-08-18 10:37:02","2021-08-18 10:40:44","12","21","F","N","A2","A3","A4","A4","0","A4","A1","0","0","0","0","0","A3","0","0","0","0","0","0","0","0","0","0","0","A2","A1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","229.62","50.44","","","","","","","","","18.5","","","","17.19","","","","25.48","","","","13.85","","","","11.87","","","","7.69","","","","15.48","","","","25.01","","","","5.98","","","","11.71","","","","11.67","","","","14.75","","",""
"44","2021-08-18 11:50:35","13","en","127992804","2021-08-18 11:46:30","2021-08-18 11:50:35","13","22","F","N","A2","A5","A2","A3","0","A3","0","0","0","0","0","0","A2","1","0","1","1","0","0","0","A1","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","250.87","52.58","","","","","","","","","17.76","","","","18.92","","","","18.77","","","","24.07","","","","15.08","","","","11.55","","","","41.69","","","","10.47","","","","6.57","","","","6.24","","","","11.14","","","","16.03","","",""
"45","2021-08-18 12:49:15","13","en","1166059951","2021-08-18 12:46:43","2021-08-18 12:49:15","14","21","M","Y","A2","A4","A3","A1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","158.97","41.28","","","","","","","","","14.42","","","","14.84","","","","15.93","","","","8.29","","","","7.45","","","","5.48","","","","8.19","","","","13.88","","","","5.41","","","","9.51","","","","5.99","","","","8.3","","",""
"46","2021-08-18 13:58:00","13","en","793587768","2021-08-18 13:55:08","2021-08-18 13:58:00","15","21","F","Y","A2","A4","A3","A2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","179.38","46.94","","","","","","","","","24.27","","","","7.59","","","","7.34","","","","11.31","","","","10.91","","","","11.15","","","","15.81","","","","16.7","","","","4.54","","","","6.77","","","","4.34","","","","11.71","","",""
"47","2021-08-18 14:50:15","13","en","1812177486","2021-08-18 14:48:51","2021-08-18 14:50:15","16","20","M","N","A2","A3","A2","A2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","91.76","23.05","","","","","","","","","8.05","","","","4.78","","","","4.8","","","","5.74","","","","6.78","","","","5.72","","","","7.27","","","","4.75","","","","5.69","","","","4.86","","","","4.73","","","","5.54","","",""
"48","2021-08-18 15:27:22","13","en","1005574515","2021-08-18 15:25:47","2021-08-18 15:27:22","17","27","M","Y","A3","A3","A2","A2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","102.09","41.29","","","","","","","","","9.75","","","","18.57","","","","7.85","","","","5.82","","","","2.92","","","","3.3","","","","2","","","","1.42","","","","1.68","","","","2.31","","","","2.32","","","","2.86","","",""
"49","2021-08-18 16:20:55","13","en","1671501786","2021-08-18 16:19:17","2021-08-18 16:20:55","18","21","F","N","A1","A2","A2","A4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","104.62","63.96","","","","","","","","","9.94","","","","4.38","","","","3.86","","","","3.61","","","","2.38","","","","3.64","","","","2.52","","","","2.24","","","","2.26","","","","1.59","","","","2.14","","","","2.1","","",""
"50","2021-08-18 18:34:12","13","en","1905237472","2021-08-18 18:30:38","2021-08-18 18:34:12","19","21","M","Y","A3","A3","A1","A1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","221.65","67.85","","","","","","","","","49.6","","","","27.65","","","","11.85","","","","11.54","","","","11.29","","","","9.31","","","","7.75","","","","4.18","","","","8.76","","","","3.75","","","","3.59","","","","4.53","","",""
"51","2021-08-18 19:19:47","13","en","662497671","2021-08-18 19:17:17","2021-08-18 19:19:47","20","21","M","Y","A3","A3","A2","A1","0","0","0","1","A4","0","A1","A3","A3","A2","1","A2","1","A3","A2","0","0","0","A4","A1","0","0","0","0","A3","A3","A2","1","A3","A3","A1","A4","0","0","0","0","155.18","28.7","","","","","","","","","20.06","","","","14.43","","","","13.14","","","","16.56","","","","12.11","","","","4.17","","","","10.82","","","","3.16","","","","13.72","","","","9.59","","","","7.12","","","","1.6","","",""
"52","2021-08-18 19:58:14","13","en","1827638367","2021-08-18 19:54:34","2021-08-18 19:58:14","21","27","F","Y","A2","A2","A4","A4","0","A3","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","226.4","31.08","","","","","","","","","44.29","","","","26.77","","","","10.52","","","","19.96","","","","18.03","","","","9.71","","","","16.27","","","","9.9","","","","15.7","","","","8.21","","","","9.32","","","","6.64","","",""
"53","2021-08-18 20:53:12","13","en","1299458219","2021-08-18 20:51:52","2021-08-18 20:53:12","22","21","F","Y","A2","A4","A3","0","0","0","0","0","0","0","0","0","A2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","86.29","26.94","","","","","","","","","6.37","","","","7.17","","","","11.51","","","","12.37","","","","5.64","","","","4.13","","","","2.69","","","","2.71","","","","1.94","","","","2.18","","","","1.25","","","","1.39","","",""
"54","2021-08-19 15:02:07","13","en","1118595025","2021-08-19 14:58:49","2021-08-19 15:02:07","23","23","M","Y","A2","A3","A2","A2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","204.7","75.96","","","","","","","","","37.19","","","","17.84","","","","13.75","","","","4.17","","","","2.77","","","","5.19","","","","12.2","","","","3.57","","","","11.93","","","","8.5","","","","3.5","","","","8.13","","",""
"55","2021-08-19 16:15:08","13","en","1970506026","2021-08-19 16:13:21","2021-08-19 16:15:08","24","21","F","Y","A3","A3","A4","A4","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","113.65","31.18","","","","","","","","","9.24","","","","6.54","","","","5.44","","","","12.25","","","","9.07","","","","4.62","","","","7.52","","","","5.52","","","","4.68","","","","3.84","","","","4.8","","","","8.95","","",""

